timeout,multiplier,max_packet,99_packet,95_packet,mean_packet,median_packet,all_hr,main_hr,max_cache,99_cache,95_cache,mean_cache,median_cache
2470,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1600.0,1600.0,1600.0,1600.0,1600.0
2790,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,200.0,200.0,200.0,200.0,200.0
2790,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,400.0,400.0,400.0,400.0,400.0
2790,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,600.0,600.0,600.0,600.0,600.0
2790,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,800.0,800.0,800.0,800.0,800.0
2790,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1000.0,1000.0,1000.0,1000.0,1000.0
2790,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1200.0,1200.0,1200.0,1200.0,1200.0
2790,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1400.0,1400.0,1400.0,1400.0,1400.0
2790,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1600.0,1600.0,1600.0,1600.0,1600.0
3110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,200.0,200.0,200.0,200.0,200.0
3110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,400.0,400.0,400.0,400.0,400.0
3110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,600.0,600.0,600.0,600.0,600.0
3110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,800.0,800.0,800.0,800.0,800.0
3110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1000.0,1000.0,1000.0,1000.0,1000.0
3110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1200.0,1200.0,1200.0,1200.0,1200.0
3110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1400.0,1400.0,1400.0,1400.0,1400.0
3110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1600.0,1600.0,1600.0,1600.0,1600.0
3750,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,200.0,200.0,200.0,200.0,200.0
3750,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,400.0,400.0,400.0,400.0,400.0
3750,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,600.0,600.0,600.0,600.0,600.0
3750,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,800.0,800.0,800.0,800.0,800.0
3750,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1000.0,1000.0,1000.0,1000.0,1000.0
3750,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1200.0,1200.0,1200.0,1200.0,1200.0
3750,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1400.0,1400.0,1400.0,1400.0,1400.0
3750,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1600.0,1600.0,1600.0,1600.0,1600.0
4390,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,200.0,200.0,200.0,200.0,200.0
4390,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,400.0,400.0,400.0,400.0,400.0
4390,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,600.0,600.0,600.0,600.0,600.0
4390,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,800.0,800.0,800.0,800.0,800.0
4390,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1000.0,1000.0,1000.0,1000.0,1000.0
4390,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1200.0,1200.0,1200.0,1200.0,1200.0
4390,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1400.0,1400.0,1400.0,1400.0,1400.0
4390,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1600.0,1600.0,1600.0,1600.0,1600.0
5030,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,200.0,200.0,200.0,200.0,200.0
5030,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,400.0,400.0,400.0,400.0,400.0
5030,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,600.0,600.0,600.0,600.0,600.0
5030,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,800.0,800.0,800.0,800.0,800.0
5030,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1000.0,1000.0,1000.0,1000.0,1000.0
5030,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1200.0,1200.0,1200.0,1200.0,1200.0
5030,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1400.0,1400.0,1400.0,1400.0,1400.0
5030,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1600.0,1600.0,1600.0,1600.0,1600.0
5670,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,200.0,200.0,200.0,200.0,200.0
5670,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,400.0,400.0,400.0,400.0,400.0
5670,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,600.0,600.0,600.0,600.0,600.0
5670,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,800.0,800.0,800.0,800.0,800.0
5670,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1000.0,1000.0,1000.0,1000.0,1000.0
5670,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1200.0,1200.0,1200.0,1200.0,1200.0
5670,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1400.0,1400.0,1400.0,1400.0,1400.0
5670,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1600.0,1600.0,1600.0,1600.0,1600.0
